name,type,unit,orig_group,cat,cat_name,subcategory,subcategory_secondary,lifecycle,activation,validation,validation_note,severity,recommendation,behavior_risk,consumer,ctor_transfer_target,guard_chain,code_transforms,src_default,set_value,runtime,effective_value,effective_formula,derived_variable,dynamic_range,observed_baseline_range,effect,dependencies,evidence
InpEnableCrashEntry,bool,bool,CRASH DETECTOR (BEAR HUNTER),4,Alpha Engines & Pattern Detection,Crash engine,,Production,Conditional,Engineering-default,,P3,Keep,High,UltimateTrader::OnInit RegisterEntryPlugin (UltimateTrader.mq5:1342),,InpEnableCrashEntry && InpEnableCrashDetector && g_profileEnableCrashBreakout && register_patterns -> RegisterEntryPlugin(g_crashEntry) (:1342),,true,(unpinned),true,= runtime (true); set=(unpinned) -> compiled default true,static (init-effective = runtime scalar),—,—,—,Cleanly registers/unregisters ONLY the crash entry plugin (the CMarketContext detector stays live) - the correct ablation switch vs InpEnableCrashDetector.,"InpEnableCrashDetector, g_profileEnableCrashBreakout, register_patterns",registration mq5:1342; asymmetry with InpEnableCrashDetector confirmed
InpDisplacementATRMult,double,ATR-mult,NEW ENTRY PLUGINS,4,Alpha Engines & Pattern Detection,Displacement engine,,Production,Active,Evidence-backed-adopted,,P2,Keep,High,CDisplacementEntry::CheckForEntrySignal (CDisplacementEntry.mqh:190); CLiquidityEngine (CLiquidityEngine.mqh:558),"CDisplacementEntry, CLiquidityEngine",passed to CDisplacementEntry ctor (mq5:1407) AND CLiquidityEngine ctor (mq5:1426) -> m_atr_displacement_mult / m_displacement_atr_mult -> displacement_threshold = atr*mult,,1.8,1.8,1.800000,"= runtime (1.8, raised from 1.5)","InpDisplacementATRMult × ATR(14,H1)  (state-dependent)",SL/threshold distance (price),"ATR(14,H1) gold ~$3–$45 over 2019–2026",scales with live ATR,Sets the displacement-body bar filter in BOTH the Displacement plugin and the Liquidity engine; one input cross-couples two engines.,SHARED consumer (Displacement + Liquidity) - changing it moves two engines' thresholds,"readers CDisplacementEntry.mqh:190, CLiquidityEngine.mqh:558; firstpass [T] raised from 1.5"
InpEnableDisplacementEntry,bool,bool,NEW ENTRY PLUGINS,4,Alpha Engines & Pattern Detection,Displacement engine,,Production,Active,Engineering-default,,P3,Keep,High,UltimateTrader::OnInit RegisterEntryPlugin (UltimateTrader.mq5:1408),,InpEnableDisplacementEntry && register_patterns -> RegisterEntryPlugin(g_displacementEntry) (:1408) -> SetContext(g_marketContext)+Initialize (mq5:393-394),,true,true,true,= runtime (true),static (init-effective = runtime scalar),—,—,—,Registers the live Phase-3.4 sweep+displacement plugin; context IS injected by RegisterEntryPlugin (NOT context-blind - the ctor NULL is standard and overridden at :393).,register_patterns; InpDisplacementATRMult,registration mq5:1408; SetContext at RegisterEntryPlugin mq5:393 (refutes 'context-blind' hypothesis)
InpLongExtensionFilter,bool,bool,PATTERN SCORE ADJUSTMENTS,4,Alpha Engines & Pattern Detection,Engine-shared filters,,Production,Active,Evidence-backed-adopted,,P2,Fix,Medium,UltimateTrader::ShouldBlockLongExtensionCore via g_profileLongExtensionFilter (UltimateTrader.mq5:439); called :2815; weekly EMA check :464-480; mirror set :290,,InpLongExtensionFilter -> g_profileLongExtensionFilter (mq5:290) -> is_buy && pct_rise_72h>=InpLongExtensionPct (:457) && weekly EMA20 falling (:479-480) -> BLOCK (:486),override,true,true,true,= runtime (true),runtime → g_profile* (ApplySymbolProfile); gold profile = 1:1 identity (except g_profileShortRiskMultiplier=InpShortRiskMultiplier vs module-default 0.5),g_profileLongExtensionFilter (SymbolProfile.mqh),—,—,"Momentum-exhaustion long block that fires ONLY when the weekly EMA20 is falling (zero blocks in bull years). Creates+releases a W1 EMA handle per signal (hot-path handle churn, not a leak).",InpLongExtensionPct threshold; W1 EMA20 slope; g_profile mirror,"reader mq5:439,464-480,486; structural: weekly EMA rising 100% of 2024-2025"
InpLongExtensionPct,double,ratio/%,PATTERN SCORE ADJUSTMENTS,4,Alpha Engines & Pattern Detection,Engine-shared filters,,Production,Active,Engineering-default,,P3,Keep,Medium,"UltimateTrader::ShouldBlockLongExtensionCore (UltimateTrader.mq5:457; logs :484,2521,2527,2824)",,InpLongExtensionFilter on -> if(pct_rise_72h < InpLongExtensionPct) return false (no block) (:457),,0.5,0.5,0.500000,= runtime (0.5),static (init-effective = runtime scalar),—,—,—,72h-rise threshold (percent) that the price must exceed before the long-extension block can trigger.,InpLongExtensionFilter (parent),reader mq5:457
InpRubberBandAPlusOnly,bool,bool,PATTERN SCORE ADJUSTMENTS,4,Alpha Engines & Pattern Detection,Engine-shared filters,,Production,Active,Evidence-backed-adopted,,P3,Keep,Medium,CSignalOrchestrator::CheckForNewSignals via g_profileRubberBandAPlusOnly (CSignalOrchestrator.mqh:861-865); mirror set UltimateTrader.mq5:289,,"InpRubberBandAPlusOnly -> g_profileRubberBandAPlusOnly (mq5:289) -> if(... && quality==SETUP_B_PLUS && StringFind(comment,""Rubber Band"")>=0) continue (:861-865)",override,true,true,true,= runtime (true),runtime → g_profile* (ApplySymbolProfile); gold profile = 1:1 identity (except g_profileShortRiskMultiplier=InpShortRiskMultiplier vs module-default 0.5),g_profileRubberBandAPlusOnly (SymbolProfile.mqh),—,—,"Drops B+ quality Rubber-Band (crash) signals, keeping A/A+; cites -3.3R/19.",targets Crash rubber-band signals by comment string; g_profile mirror,reader mqh:861-865; firstpass [T] cites -3.3R/19
InpEnableEngulfing,bool,bool,PATTERN ENABLE/DISABLE,4,Alpha Engines & Pattern Detection,Engulfing engine,,Production,Active,Engineering-default,,P3,Keep,High,UltimateTrader::OnInit RegisterEntryPlugin (UltimateTrader.mq5:1283),,InpEnableEngulfing && register_patterns -> RegisterEntryPlugin(g_engulfingEntry) (:1283) -> SetContext+Initialize (mq5:393-394),,true,true,true,= runtime (true),static (init-effective = runtime scalar),—,—,—,"Registers/unregisters the engulfing entry plugin, a live baseline cohort.",register_patterns; g_profileEnableBearishEngulfing gates the bearish sub-branch,registration mq5:1283
InpEngulfingBlockSetupA,bool,bool,PATTERN ENABLE/DISABLE,4,Alpha Engines & Pattern Detection,Engulfing engine,,Production,Active,Evidence-backed-adopted,,P1,Keep,High,CSignalOrchestrator::CheckForNewSignals plugin loop (CSignalOrchestrator.mqh:850-858),,"engulfing signal ranked -> if(InpEngulfingBlockSetupA && quality==SETUP_A && signal.plugin_name==""EngulfingEntry"") continue (:850-858)",,false,true,true,= runtime (TRUE via .set; ADOPTED) - src default false,static (init-effective = runtime scalar),—,—,—,Drops only the SETUP_A tier of engulfing signals (A+/B+/B kept); engine-specific quality filter.,plugin_name=='EngulfingEntry'; quality==SETUP_A; not a global A rule,canonical-production.set InpEngulfingBlockSetupA=true; honest-baseline 'Engulfing-A-block' (enga-32490); quality-tier-calibration memory; src!=.set adopted arm
InpEngulfingBodyRatio,double,ratio/%,PATTERN ENABLE/DISABLE,4,Alpha Engines & Pattern Detection,Engulfing engine,,Rejected-retained,No-op,Identity-default,,P2,Deprecate,None,"CEngulfingEntry::CheckForEntrySignal (CEngulfingEntry.mqh:177,264)",,"engulfing registration -> ctor slot6 -> m_body_engulf_pct -> curr_body >= prev_body*m_body_engulf_pct (bull :177, bear :264)",,0.8,(unpinned),0.800000,= runtime (0.8) but NEVER binds,static (init-effective = runtime scalar),—,—,—,"NO-OP: the price-overlap condition (open[1]<=close[2] && close[1]>=open[2]) algebraically forces curr_body>=prev_body, so a 0.8 multiplier is always satisfied; only a value >1.0 would ever tighten.",redundant with the overlap condition at :177/:264,"VERIFIED FINDING; overlap lines mqh:177 (bull), :264 (bear)"
InpEngulfingRegimePolicy,ENUM_ENGULFING_REGIME_POLICY,enum,PATTERN ENABLE/DISABLE,4,Alpha Engines & Pattern Detection,Engulfing engine,,Production,Active,Evidence-backed-adopted,,P1,Keep,High,"CEngulfingEntry::CheckForEntrySignal (CEngulfingEntry.mqh:188,198,209); enum Enums.mqh:438-443",,engulfing registration -> ctor slot7 -> m_regime_policy -> if(policy!=NONE && m_context!=NULL) (:188) -> ENGULF_BLOCK_D1_BEAR: allow=!GetD1DeathCross() (:198) -> invalid signal returned (:209),,ENGULF_REGIME_NONE,1,ENGULF_BLOCK_D1_BEAR,= runtime (1 = ENGULF_BLOCK_D1_BEAR via .set; ADOPTED) - src default ENGULF_REGIME_NONE,static (init-effective = runtime scalar),—,—,—,Arm 1 (ADOPTED): policy=1 suppresses BUY engulfing whenever the raw D1 EMA50<EMA200 death cross is active; live directional gate.,"m_context.GetD1DeathCross (CMarketContext.mqh:688-692, raw EMA cross, no price guard); bearish branch has no such gate",canonical-production.set InpEngulfingRegimePolicy=1; honest-baseline 'Engulfing-death-cross' (enga) tag; src!=.set adopted arm
InpCompressionMinBars,int,bars,EXPANSION ENGINE,4,Alpha Engines & Pattern Detection,Expansion engine,,Rejected-retained,No-op,Identity-default,,P3,Keep,None,CExpansionEngine::CheckCompressionBreakout (CExpansionEngine.mqh:940); set ctor :97 AND ConfigureModes :318 (double-pass),CExpansionEngine,"expansion engine on -> ctor arg3 (mq5:1447) AND ConfigureModes arg4 (mq5:1448, wins) -> m_squeeze_bars >= m_compression_min_bars (:940), inside compression mode (off)",,8,8,8,= runtime (8); inert (native Compression mode off) and double-passed,static (init-effective = runtime scalar),—,—,—,Min squeeze bars for the disabled Compression-BO mode; no effect on prod.,InpExpCompressionBO=false (parent); double-pass redundancy,reader mqh:940 inside disabled mode; double-pass mqh:97/318
InpEnableExpansionEngine,bool,bool,EXPANSION ENGINE,4,Alpha Engines & Pattern Detection,Expansion engine,,Production,Active,Engineering-default,,P3,Keep,High,UltimateTrader::OnInit ctor+register (UltimateTrader.mq5:1445-1449),,if(InpEnableExpansionEngine && register_patterns){ new CExpansionEngine; ConfigureModes; RegisterEntryPlugin } (:1445-1449),,true,true,true,= runtime (true),static (init-effective = runtime scalar),—,—,—,Constructs/registers the live Expansion engine - the source of Inst-candle fills AND the composed Vol-BO/Session-BO fills; the only switch that actually stops those composed modes.,register_patterns; composed modes have NO other input toggle,registration mq5:1445-1449; composed CSessionBreakoutEntry at CExpansionEngine.mqh:384
InpExpCompressionBO,bool,bool,EXPANSION ENGINE,4,Alpha Engines & Pattern Detection,Expansion engine,,Rejected-retained,Gated-off,Rejected,,P2,Keep,Low,CExpansionEngine::CheckForEntrySignal (CExpansionEngine.mqh:480); ConfigureModes arg2 -> m_enable_compression (:316),,expansion engine on -> ConfigureModes arg2 (mq5:1448) -> m_enable_compression -> if(...) gate (:480),,false,false,false,= runtime (false),static (init-effective = runtime scalar),—,—,—,"Native Compression-BO mode off (net -$240); but the composed Vol-BO path is still stamped MODE_COMPRESSION_BO (mqh:509), so this mode's telemetry accrues trades the operator believes are disabled.",InpEnableExpansionEngine; telemetry conflation with composed Vol-BO,gate mqh:480; mis-tag mqh:509; firstpass [T] net -$240 -> tested & rejected
InpExpInstitutionalCandle,bool,bool,EXPANSION ENGINE,4,Alpha Engines & Pattern Detection,Expansion engine,,Production,Active,Engineering-default,,P3,Keep,High,CExpansionEngine::CheckForEntrySignal (CExpansionEngine.mqh:466); ConfigureModes arg1 -> m_enable_inst_candle (:315),,expansion engine on -> ConfigureModes arg1 (mq5:1448) -> m_enable_inst_candle -> if(...) gate (:466),,true,true,true,= runtime (true),static (init-effective = runtime scalar),—,—,—,Enables the native institutional-candle breakout mode (live).,InpEnableExpansionEngine; does NOT gate the composed Vol-BO/Session-BO modes,gate mqh:466
InpInstCandleMult,double,ATR-mult,EXPANSION ENGINE,4,Alpha Engines & Pattern Detection,Expansion engine,,Production,Active,Evidence-backed-adopted,,P2,Merge,High,"CExpansionEngine::CheckInstitutionalCandleBO (CExpansionEngine.mqh:702); set ctor :96 AND ConfigureModes :317 (double-pass, ConfigureModes authoritative)",CExpansionEngine,"expansion engine on -> passed to ctor arg2 (mq5:1447, sets :96) AND ConfigureModes arg3 (mq5:1448, sets :317, wins) -> body >= atr*m_inst_candle_mult (:702)",,1.8,1.8,1.800000,"= runtime (1.8, lowered from 2.5); ctor value overwritten by ConfigureModes","InpInstCandleMult × ATR(14,H1)  (state-dependent)",SL/threshold distance (price),"ATR(14,H1) gold ~$3–$45 over 2019–2026",scales with live ATR,Institutional-candle body threshold in ATRs (live); passed redundantly to both ctor and ConfigureModes.,"InpExpInstitutionalCandle; DOUBLE-PASS redundancy (benign, same value)",reader mqh:702; double-pass mqh:96/317; firstpass [T] 2.5 gave 0 trades
InpEnableLiquidityEngine,bool,bool,LIQUIDITY ENGINE,4,Alpha Engines & Pattern Detection,Liquidity engine,,Production,Active,Engineering-default,,P3,Keep,High,UltimateTrader::OnInit ctor + RegisterEntryPlugin (UltimateTrader.mq5:1424-1429),,"if(InpEnableLiquidityEngine && register_patterns){ new CLiquidityEngine(...); ConfigureModes(...); RegisterEntryPlugin(...,true) } (:1424-1429)",,true,true,true,= runtime (true),static (init-effective = runtime scalar),—,—,—,Constructs and registers the live Liquidity engine (Displacement + OB-Retest on prod).,register_patterns; mode toggles InpLiqEngine*,registration mq5:1424-1429
InpEnableLiquiditySweep,bool,bool,PATTERN ENABLE/DISABLE,4,Alpha Engines & Pattern Detection,Liquidity engine,,Rejected-retained,Gated-off,Engineering-default,,P2,Deprecate,None,UltimateTrader::OnInit RegisterEntryPlugin (UltimateTrader.mq5:1285),,"InpEnableLiquiditySweep(false) && register_patterns -> RegisterEntryPlugin(g_liqSweepEntry, false) -> not registered",,false,false,false,= runtime (false),static (init-effective = runtime scalar),—,—,—,"Standalone CLiquiditySweepEntry not registered; combined with InpLiqEngineSFP=false, sweep logic is dead everywhere.",its engine replacement InpLiqEngineSFP is also off,registration mq5:1285; firstpass [W] dead everywhere
InpLiqEngineFVGMitigation,bool,bool,LIQUIDITY ENGINE,4,Alpha Engines & Pattern Detection,Liquidity engine,,Rejected-retained,Gated-off,Rejected,,P3,Keep,Low,CLiquidityEngine::CheckForEntrySignal (CLiquidityEngine.mqh:456); ConfigureModes arg3 -> m_enable_fvg_mitigation (:141),,liquidity engine on -> ConfigureModes arg3 -> m_enable_fvg_mitigation -> if(...) gate (:456),,false,false,false,= runtime (false),static (init-effective = runtime scalar),—,—,—,FVG-Mitigation mode off (CheckFVGMitigation never called); correctly off as a PF 0.61 loser.,InpEnableLiquidityEngine,gate mqh:456; firstpass [T] PF 0.61 -> tested & rejected
InpLiqEngineOBRetest,bool,bool,LIQUIDITY ENGINE,4,Alpha Engines & Pattern Detection,Liquidity engine,,Production,Active,Evidence-backed-adopted,,P3,Keep,High,CLiquidityEngine::CheckForEntrySignal cascade (CLiquidityEngine.mqh:444); set via ConfigureModes (mq5:1428 arg2 -> m_enable_ob_retest :140),,liquidity engine on -> ConfigureModes arg2 -> m_enable_ob_retest -> if(m_enable_ob_retest && !IsModeDisabled(MODE_OB_RETEST)) (:444),,true,true,true,= runtime (true),static (init-effective = runtime scalar),—,—,—,"Enables OB-Retest, the only input-toggled LIVE liquidity mode (Displacement is hardcoded true as priority-1 at mq5:1428 arg1).",InpEnableLiquidityEngine; per-mode auto-disable tracking,gate mqh:444; ConfigureModes mq5:1428
InpLiqEngineSFP,bool,bool,LIQUIDITY ENGINE,4,Alpha Engines & Pattern Detection,Liquidity engine,,Rejected-retained,Gated-off,Rejected,,P3,Keep,Low,CLiquidityEngine::CheckForEntrySignal (CLiquidityEngine.mqh:468); ConfigureModes arg4 -> m_enable_sfp (:142),,liquidity engine on -> ConfigureModes arg4 -> m_enable_sfp -> if(...) gate (:468),,false,false,false,= runtime (false),static (init-effective = runtime scalar),—,—,—,SFP mode off (CheckSFP never called); correctly off at 0% WR. Also renders InpUseDivergenceFilter and InpEnableLiquiditySweep-class logic dead.,InpEnableLiquidityEngine; parents InpUseDivergenceFilter,gate mqh:468; firstpass [T] 0% WR -> tested & rejected
InpUseDivergenceFilter,bool,bool,LIQUIDITY ENGINE,4,Alpha Engines & Pattern Detection,Liquidity engine,,Rejected-retained,No-op,Identity-default,,P3,Keep,None,"CLiquidityEngine::CheckSFP (CLiquidityEngine.mqh:1268 bull, :1386 bear); ConfigureModes arg5 -> m_use_divergence (:143)",,"liquidity engine on -> ConfigureModes arg5 -> m_use_divergence -> read ONLY inside CheckSFP (:1268/:1386), which m_enable_sfp=false prevents from running (:468)",,false,false,false,= runtime (false); doubly inert (SFP off AND filter off),static (init-effective = runtime scalar),—,—,—,Would add +5 quality on RSI divergence inside SFP; doubly inert because SFP mode is off.,InpLiqEngineSFP=false (parent),"readers mqh:1268,1386 confirmed SFP-only"
InpBullMACrossBlockNY,bool,bool,PATTERN SCORE ADJUSTMENTS,4,Alpha Engines & Pattern Detection,MA-cross engine,,Production,Active,Evidence-backed-adopted,,P3,Keep,Medium,CMACrossEntry::CheckForEntrySignal via g_profileBullMACrossBlockNY (CMACrossEntry.mqh:173-180); mirror set UltimateTrader.mq5:288,,InpBullMACrossBlockNY -> g_profileBullMACrossBlockNY (mq5:288) -> before the (only) bullish branch: if(...) gmt_hour>=13 -> return (:173-180),override,true,true,true,= runtime (true),runtime → g_profile* (ApplySymbolProfile); gold profile = 1:1 identity (except g_profileShortRiskMultiplier=InpShortRiskMultiplier vs module-default 0.5),g_profileBullMACrossBlockNY (SymbolProfile.mqh),—,—,"Blocks bullish MA-cross entries at/after 13:00 GMT (NY), citing -1.9R/60; bear MA-cross was removed entirely (:216).",g_sessionEngine clock; g_profile mirror,reader mqh:173-180; firstpass [T] cites -1.9R/60
InpEnableMACross,bool,bool,PATTERN ENABLE/DISABLE,4,Alpha Engines & Pattern Detection,MA-cross engine,,Production,Active,Engineering-default,,P3,Keep,High,UltimateTrader::OnInit RegisterEntryPlugin (UltimateTrader.mq5:1286),,InpEnableMACross && register_patterns -> RegisterEntryPlugin(g_maCrossEntry) (:1286),,true,true,true,= runtime (true),static (init-effective = runtime scalar),—,—,—,"Registers/unregisters the MA-cross entry plugin, a live baseline cohort.",register_patterns; InpMAFastPeriod/InpMASlowPeriod; InpBullMACrossBlockNY filter,registration mq5:1286
InpDayRouterADXThresh,int,ratio/%,ENGINE FRAMEWORK,4,Alpha Engines & Pattern Detection,Multi-strategy router,,Production,Active,Engineering-default,,P3,Keep,Medium,CDayTypeRouter::ClassifyDay (CDayTypeRouter.mqh:74),CDayTypeRouter,InpEnableDayRouter -> ctor -> m_adx_trend_thresh -> if(regime==REGIME_TRENDING && adx > m_adx_trend_thresh) -> DAY_TREND (:74),,20,20,20,= runtime (20),static (init-effective = runtime scalar),—,—,—,ADX cutoff for the trending-day classification; output IS live on prod and feeds Liquidity/Expansion day-type gates (contra the stale in-code comment claiming no prod effect).,InpEnableDayRouter; day_type consumers in Liquidity/Expansion,"reader CDayTypeRouter.mqh:74; live day_type consumers CLiquidityEngine.mqh:365/416, CExpansionEngine.mqh:453/480"
InpEnableDayRouter,bool,bool,ENGINE FRAMEWORK,4,Alpha Engines & Pattern Detection,Multi-strategy router,,Production,Active,Engineering-default,,P3,Keep,Medium,UltimateTrader::OnInit (UltimateTrader.mq5:1420-1421); ClassifyDay each tick (mq5:2405),,if(InpEnableDayRouter) g_dayRouter = new CDayTypeRouter(...) (:1420-1421); ClassifyDay(:2405) sets day_type on Liquidity/Session/Expansion (:2406-2408),,true,true,true,= runtime (true),static (init-effective = runtime scalar),—,—,—,"Enables live day-type classification whose day_type gates Liquidity (mqh:365,416) and Expansion (mqh:453,480) logic; NOT gated by InpEnableMultiStrategy despite a stale in-code comment saying so.",InpDayRouterADXThresh; drives live Liquidity/Expansion day-type gates,registration mq5:1420; ClassifyDay mq5:2405; stale gating comment CDayTypeRouter.mqh:54-57 (NEW issue)
InpEnableEngineExpansion,bool,bool,MULTI-STRATEGY ENGINES,4,Alpha Engines & Pattern Detection,Multi-strategy router,,Experimental,Gated-off,Engineering-default,,P3,Keep,None,UltimateTrader::OnInit router wire (UltimateTrader.mq5:1514-1517),,if(InpEnableMultiStrategy){ ... if(g_expansionEngine!=NULL && InpEnableEngineExpansion){ SetScorer; g_regimeRouter.RegisterEngine(g_expansionEngine) } (:1514-1517) },,false,false,false,= runtime (false); doubly dormant,static (init-effective = runtime scalar),—,—,—,"Additively wires the EXISTING expansion engine into the router (Engine 4) only under multi-strategy; legacy standalone registration is untouched. Unlike engines 1-3, its router RegisterEngine IS gated by the flag (asymmetry).",InpEnableMultiStrategy=false (parent); g_expansionEngine!=NULL,router wire mq5:1514-1517; gating asymmetry vs engines 1-3 (NEW issue)
InpEnableEngineRange,bool,bool,MULTI-STRATEGY ENGINES,4,Alpha Engines & Pattern Detection,Multi-strategy router,,Experimental,Gated-off,Engineering-default,,P3,Keep,None,UltimateTrader::OnInit RegisterEntryPlugin (UltimateTrader.mq5:1504),,"if(InpEnableMultiStrategy){ ... RegisterEntryPlugin(g_engineRange, InpEnableEngineRange && register_patterns) (:1504) }",,false,false,false,= runtime (false); doubly dormant,static (init-effective = runtime scalar),—,—,—,Gates only the plugin registration of Engine 3 (Range/Mean-Reversion); router RegisterEngine (:1505) unconditional.,InpEnableMultiStrategy=false (parent),registration mq5:1504
InpEnableEngineReversal,bool,bool,MULTI-STRATEGY ENGINES,4,Alpha Engines & Pattern Detection,Multi-strategy router,,Experimental,Gated-off,Engineering-default,,P3,Keep,None,UltimateTrader::OnInit RegisterEntryPlugin (UltimateTrader.mq5:1498),,"if(InpEnableMultiStrategy){ ... RegisterEntryPlugin(g_reversalSweepEngine, InpEnableEngineReversal && register_patterns) (:1498) }",,false,false,false,= runtime (false); doubly dormant,static (init-effective = runtime scalar),—,—,—,Gates only the plugin registration of Engine 2 (Reversal/Sweep); router RegisterEngine (:1499) unconditional.,InpEnableMultiStrategy=false (parent),registration mq5:1498
InpEnableEngineTrend,bool,bool,MULTI-STRATEGY ENGINES,4,Alpha Engines & Pattern Detection,Multi-strategy router,,Experimental,Gated-off,Engineering-default,,P3,Keep,None,UltimateTrader::OnInit RegisterEntryPlugin (UltimateTrader.mq5:1492),,"if(InpEnableMultiStrategy){ ... RegisterEntryPlugin(g_trendContEngine, InpEnableEngineTrend && register_patterns) (:1492) }",,false,false,false,= runtime (false); doubly dormant (also behind master off),static (init-effective = runtime scalar),—,—,—,Gates only the plugin registration of Engine 1 (Trend-Continuation); the router RegisterEngine (:1493) is unconditional but harmless when the plugin is unregistered.,InpEnableMultiStrategy=false (parent),registration mq5:1492; router asymmetry vs engine 4 (NEW issue)
InpEnableMultiStrategy,bool,bool,MULTI-STRATEGY ENGINES,4,Alpha Engines & Pattern Detection,Multi-strategy router,,Experimental,Gated-off,Engineering-default,,P3,Keep,None,UltimateTrader::OnInit build block (UltimateTrader.mq5:1476); OnTick router (mq5:2301); GATE derivation (mq5:1754); CMarketContext::IsDataDay (CMarketContext.mqh:1208),,"master: if(InpEnableMultiStrategy){ scorer + CRegimeRouter + engines 1-3 built/registered, engine-4 router-wired } (:1476); OFF -> none constructed, activation never updated -> byte-identical baseline",,false,false,false,= runtime (false),static (init-effective = runtime scalar),—,—,—,Dormant scaffold master; OFF keeps the registered-plugin set and OnTick path byte-identical to baseline. Also short-circuits InpEnableNewsFlat/IsDataDay to inert (CMarketContext.mqh:1208).,parents InpEnableEngineTrend/Reversal/Range/Expansion; gates InpEnableNewsFlat reachability,build gate mq5:1476; IsDataDay mqh:1208; multi-strategy-build memory (intended off)
InpBearPinBarAsiaOnly,bool,bool,PATTERN SCORE ADJUSTMENTS,4,Alpha Engines & Pattern Detection,PinBar engine,,Deprecated,Superseded,Identity-default,,P2,Deprecate,None,CPinBarEntry::CheckForEntrySignal via g_profileBearPinBarAsiaOnly (CPinBarEntry.mqh:228); mirror set UltimateTrader.mq5:287,,"InpBearPinBarAsiaOnly -> g_profileBearPinBarAsiaOnly (mq5:287, forced false non-gold :308,:324) -> after !g_profileEnableBearishPinBar return (:225) -> if(g_profileBearPinBarAsiaOnly){ gmt 8-23 -> return } (:228)",override,false,false,false,= runtime (false); code marks it superseded by the NY block,runtime → g_profile* (ApplySymbolProfile); gold profile = 1:1 identity (except g_profileShortRiskMultiplier=InpShortRiskMultiplier vs module-default 0.5),g_profileBearPinBarAsiaOnly (SymbolProfile.mqh),—,—,Vestigial: would gate bear pins to the Asia window; held at identity and superseded by InpBearPinBarBlockNY.,superseded by InpBearPinBarBlockNY; g_profileEnableBearishPinBar,reader mqh:228; firstpass [W] vestigial/superseded
InpBearPinBarBlockNY,bool,bool,PATTERN SCORE ADJUSTMENTS,4,Alpha Engines & Pattern Detection,PinBar engine,,Production,Active,Evidence-backed-adopted,,P2,Fix,Medium,"CPinBarEntry::CheckForEntrySignal (CPinBarEntry.mqh:238, reads InpBearPinBarBlockNY RAW)",,pinbar registration -> after bear-enable gate (:225) -> if(InpBearPinBarBlockNY){ gmt_hour_ny>=13 -> return } (:238),,true,true,true,= runtime (true),static (init-effective = runtime scalar),—,—,—,"Blocks bearish pin bars at/after 13:00 GMT (NY), citing -1.9R in that window; live directional gate.","reads the raw input, NOT via g_profile* mirror (asymmetry vs InpBearPinBarAsiaOnly - latent multi-symbol bug); needs g_sessionEngine clock",reader mqh:238; firstpass [T] cites -1.9R NY
InpEnablePinBar,bool,bool,PATTERN ENABLE/DISABLE,4,Alpha Engines & Pattern Detection,PinBar engine,,Production,Active,Engineering-default,,P3,Keep,High,UltimateTrader::OnInit RegisterEntryPlugin (UltimateTrader.mq5:1284),,InpEnablePinBar && register_patterns -> RegisterEntryPlugin(g_pinBarEntry) (:1284),,true,true,true,= runtime (true),static (init-effective = runtime scalar),—,—,—,"Registers/unregisters the pin-bar entry plugin, a live baseline cohort (Bearish PF ~1.48).",register_patterns; g_profileEnableBearishPinBar gates the bear sub-branch; InpBearPinBarBlockNY/AsiaOnly filters,registration mq5:1284; firstpass [T] Bearish PF 1.48
InpPinBarHighLookback,int,bars,PATTERN ENABLE/DISABLE,4,Alpha Engines & Pattern Detection,PinBar engine,,Rejected-retained,No-op,Identity-default,,P3,Keep,None,"CPinBarEntry::CheckForEntrySignal (CPinBarEntry.mqh:178,189)",,"inside if(InpPinBarProximityFilter) (:176) -> iHighest(...,InpPinBarHighLookback,1) (:178)",,20,20,20,= runtime (20); inert while ProximityFilter=false,static (init-effective = runtime scalar),—,—,—,Swing-high lookback for the (disabled) proximity filter; no effect on prod.,InpPinBarProximityFilter=false,reader mqh:178 inside disabled block
InpPinBarProximityFilter,bool,bool,PATTERN ENABLE/DISABLE,4,Alpha Engines & Pattern Detection,PinBar engine,,Rejected-retained,Gated-off,Rejected,,P3,Keep,Low,CPinBarEntry::CheckForEntrySignal (CPinBarEntry.mqh:176),,pinbar registration -> if(InpPinBarProximityFilter){ proximity block :176-196 },,false,false,false,= runtime (false) -> whole proximity block skipped,static (init-effective = runtime scalar),—,—,—,"When on, requires the pin to be near a swing high/low; correctly off because it blocked ~94% of trending entries.",parents InpPinBarHighLookback / InpPinBarProximityPct,reader mqh:176; firstpass [T] blocked 94% of trending entries -> tested & rejected
InpPinBarProximityPct,double,ratio/%,PATTERN ENABLE/DISABLE,4,Alpha Engines & Pattern Detection,PinBar engine,,Rejected-retained,No-op,Identity-default,,P3,Keep,None,"CPinBarEntry::CheckForEntrySignal (CPinBarEntry.mqh:185,191)",,inside if(InpPinBarProximityFilter) (:176) -> if(dist_from_high < InpPinBarProximityPct) (:185),,1.0,1.0,1.000000,= runtime (1.0); inert while ProximityFilter=false,static (init-effective = runtime scalar),—,—,—,Proximity distance threshold for the (disabled) filter; no effect on prod.,InpPinBarProximityFilter=false,reader mqh:185 inside disabled block
